,Attribute,Label,Description,Required,Valid Values,Component
File Alias,File Alias,FileAlias,"Alias of the file. Must be unique. Can be the GEO identifier such as GSE12345, or a DOI. No Greek Letters.",True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
File Format,File Format,FileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Proportion Reads Mapped,Proportion Reads Mapped,ProportionReadsMapped,Proportion of mapped reads collected from samtools. Number,False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Run ID,Run ID,RunID,A unique identifier for this individual run (typically associated with a single slide) of the spatial transcriptomic processing workflow.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Median UMI Counts per Spot,Median UMI Counts per Spot,MedianUMICountsperSpot,The median number of UMI counts per tissue covered spot.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Workflow Version,Workflow Version,WorkflowVersion,Major version of the workflow (e.g. Cell Ranger v3.1),False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Workflow Link,Workflow Link,WorkflowLink,Link to workflow or command. URL,False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Proportion Reads Mapped to Transcriptome,Proportion Reads Mapped to Transcriptome,ProportionReadsMappedtoTranscriptome,Fraction of reads that mapped to a unique gene in the transcriptome. The read must be consistent with annotated splice junctions. These reads are considered for UMI counting.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Filename,Filename,Filename,Name of a file,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Median Number Genes per Spatial Spot,Median Number Genes per Spatial Spot,MedianNumberGenesperSpatialSpot,The median number of genes detected per spot under tissue-associated barcode. Detection is defined as the presence of at least 1 UMI count.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
VisiumRNALevel2 Key,VisiumRNALevel2 Key,VisiumRNALevel2Key,Unique VisiumRNALevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Capture Area,Capture Area,CaptureArea,"Area (or Capture Area) - One of the either four or two active regions where tissue can be placed on a Visium slide. Each area is intended to contain only one tissue sample. Slide areas are named consecutively from top to bottom: A1, B1, C1, D1 for Visium slides with 6.5 mm Capture Area and A, B for CytAssist slides with 11 mm Capture Area. Both CytAssist slides with 6.5 mm Capture Area and Gateway Slides contain only two slide areas, A1 and D1.",False,"['D', 'A', 'D1', 'B1', 'A1', 'C1', 'C', 'B', '']",10xVisiumSpatialTranscriptomics-RNA-seqLevel3
Biospecimen Key,Biospecimen Key,BiospecimenKey,Unique Biospecimen_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Run ID,Run ID,RunID,A unique identifier for this individual run (typically associated with a single slide) of the spatial transcriptomic processing workflow.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
VisiumRNALevel3 Key,VisiumRNALevel3 Key,VisiumRNALevel3Key,Unique VisiumRNALevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Visium Workflow Type,Visium Workflow Type,VisiumWorkflowType,Generic name for the workflow used to analyze the visium data set.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Workflow Link,Workflow Link,WorkflowLink,Link to workflow or command. URL,False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
File Format,File Format,FileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Component,Component,Component,"Category of metadata (e.g. Tools, Publications, etc.); provide the same one for all items/rows.",True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
VisiumRNALevel4_id,VisiumRNALevel4_id,VisiumRNALevel4Id,"Unique row identifier, used as a primary key for record updates",True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Workflow Version,Workflow Version,WorkflowVersion,Major version of the workflow (e.g. Cell Ranger v3.1),False,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Visium Workflow Parameters Description,Visium Workflow Parameters Description,VisiumWorkflowParametersDescription,Parameters used to run the workflow.,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
Filename,Filename,Filename,Name of a file,True,,10xVisiumSpatialTranscriptomics-RNA-seqLevel4
